clean_name,full_name,first_name,surname,affiliation,homepage,scholar,middle_name
A Min Tjoa,A Min Tjoa,A,Tjoa,TU Wien,http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,Min
A. Akbari Azirani,A. Akbari Azirani,A.,Azirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,Akbari
A. Akbariazirani,A. Akbariazirani,A.,Akbariazirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,\N
A. Aldo Faisal,A. Aldo Faisal,A.,Faisal,Imperial College London,https://www.imperial.ac.uk/people/a.faisal,WjHjbrwAAAAJ,Aldo
A. Antony Franklin,A. Antony Franklin,A.,Franklin,IIT Hyderabad,http://www.iith.ac.in/~antony/index.html,LVfqLuoAAAAJ,Antony
A. B. M. Alim Al Islam,A. B. M. Alim Al Islam,A.,Islam,BUET,https://sites.google.com/site/abmalimalislam,K-AIPzQAAAAJ,B. M. Alim Al
A. B. Siddique,A. B. Siddique 0001,A.,Siddique,University of Kentucky,http://cs.uky.edu/~siddique,pVnchfsAAAAJ,B.
A. B. van der Merwe,A. B. van der Merwe,A.,Merwe,Stellenbosch University,http://www.cs.sun.ac.za/~abvdm,TKlHqnMAAAAJ,B. van der
A. Baskar,A. Baskar,A.,Baskar,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/abaskar/profile,mNpOTuEAAAAJ,\N
A. C. Cem Say,A. C. Cem Say,A.,Say,Boğaziçi University,https://www.cmpe.boun.edu.tr/~say,rOum2XsAAAAJ,C. Cem
A. C. W. Finkelstein,A. C. W. Finkelstein,A.,Finkelstein,City University of London,https://finkelstein.uk,n8xuCVkAAAAJ,C. W.
A. Cüneyd Tantug,A. Cüneyd Tantug,A.,Tantug,Istanbul Technical University,http://tantug.com,TTawdWMAAAAJ,Cüneyd
A. D. Fekete,A. D. Fekete,A.,Fekete,University of Sydney,https://sydney.edu.au/engineering/it/~fekete,Hs9cVRgAAAAJ,D.
A. David Marshall,A. David Marshall,A.,Marshall,Cardiff University,https://www.cardiff.ac.uk/people/view/118142-marshall-david,7HJzGQYAAAAJ,David
